,Borough,Count
0,Barking and Dagenham,25200
1,Barnet,36762
2,Bexley,21357
3,Brent,36211
4,Bromley,29965
5,Camden,44826
6,Croydon,41668
7,Ealing,38609
8,Enfield,36393
9,Greenwich,34456
10,Hackney,40156
11,Hammersmith and Fulham,28295
12,Haringey,37769
13,Harrow,20760
14,Havering,23458
15,Hillingdon,33033
16,Hounslow,32753
17,Islington,35441
18,Kensington and Chelsea,28413
19,Kingston upon Thames,15884
20,Lambeth,43226
21,Lewisham,35236
22,Merton,17650
23,Newham,44703
24,Redbridge,28792
25,Richmond upon Thames,15127
26,Southwark,46248
27,Sutton,16788
28,Tower Hamlets,42512
29,Waltham Forest,29070
30,Wandsworth,30936
31,Westminster,91070
