Borough,total crimes,population,crimes per 1000 people,rdup crimes per 1000 people,wage,log crime rate,log income
Barking and Dagenham,"25,200","212,906",118.3620941,118,12.88,2.07321264,1.109915863
Barnet,36762,"395,869",92.86405351,93,16,1.967847637,1.204119983
Bexley,21357,"248,287",86.01739116,86,15.84,1.934586267,1.199755177
Brent,36211,"329,771",109.8065021,110,14.21,2.040628057,1.152594078
Bromley,29965,"332,336",90.164773,90,18.41,1.955036894,1.265053789
Camden,44826,"270,029",166.0043921,166,19.17,2.220119579,1.282622113
Croydon,41668,"386,710",107.7499935,108,15.51,2.032417253,1.190611798
Ealing,38609,"341,806",112.9558873,113,14.57,2.052908871,1.163459552
Enfield,36393,"333,794",109.0283229,109,13.67,2.037539332,1.135768515
Greenwich,34456,"287,942",119.6629877,120,15.85,2.077959842,1.200029267
Hackney,40156,"281,120",142.8429141,143,16.34,2.154858702,1.213252052
Hammersmith and Fulham,28295,"185,143",152.8278142,153,19.78,2.184202402,1.296226287
Haringey,37769,"268,647",140.5896958,141,16.14,2.147953491,1.20790353
Harrow,20760,"251,160",82.65647396,83,16.73,1.917276875,1.223495941
Havering,23458,"259,552",90.37880656,90,15.34,1.956066602,1.18582536
Hillingdon,33033,"306,870",107.6449311,108,14.44,2.031993584,1.159567193
Hounslow,32753,"271,523",120.6269819,121,14.67,2.081444462,1.166430114
Islington,35441,"242,467",146.1683446,146,19.59,2.164853328,1.292034436
Kensington and Chelsea,28413,"156,129",181.9841285,182,21.13,2.260033513,1.324899497
Kingston upon Thames,15884,"177,507",89.48379501,89,18.05,1.951744394,1.256477206
Lambeth,43226,"326,034",132.5812645,133,17.47,2.122482157,1.242292905
Lewisham,35236,"305,842",115.2098142,115,15.33,2.061489476,1.185542155
Merton,17650,"206,548",85.45229196,85,16.58,1.931723716,1.219584526
Newham,44703,"353,134",126.58934,127,13.89,2.102397136,1.142702246
Redbridge,28792,"305,222",94.33133916,94,15.34,1.974656,1.18582536
Richmond upon Thames,15127,"198,019",76.39165939,76,19.98,1.883045944,1.300595484
Southwark,46248,"318,830",145.0553587,145,17.24,2.161533777,1.236537261
Sutton,16788,"206,349",81.35731213,81,16.18,1.910396592,1.208978517
Tower Hamlets,42512,"324,745",130.908867,131,19.15,2.116969064,1.282168778
Waltham Forest,29070,"276,983",104.9522895,105,15.44,2.020991917,1.188647296
Wandsworth,30936,"329,677",93.83730136,94,20.5,1.97237551,1.311753861
Westminster,91070,"261,317",348.5039244,349,19.14,2.542207673,1.281941933
